name,fry,frm,frd,toy,tom,tod,importance
Reuters - Notícias em Português,1998,1,1,2023,12,31,1
Vida Económica,1998,1,1,2023,12,31,3
Agência Lusa - Serviço Economia,2001,2,1,2013,1,31,3
Agência Lusa,2013,1,1,2023,12,31,3
Jornal de Notícias,1998,1,1,2023,12,31,3
Diário Económico,1998,2,1,2016,5,31,3
Publico Online,2010,11,1,2023,12,31,3
Correio da Manha,2011,1,1,2023,12,31,3
Jornal de Negócios,2011,10,1,2023,12,31,3
Dinheiro Vivo,2014,4,1,2023,12,31,1
Observador,2017,7,1,2023,12,31,1
"ECO (Portugal, Portuguese Language)",2019,2,1,2023,12,31,1
Diário de Notícias,2010,5,1,2023,12,31,1
Expresso online,2013,9,1,2023,12,31,1
Visao Online,2013,7,1,2023,12,31,1
Exame (Portuguese Language),2013,9,1,2023,12,31,1
Açoriano Oriental,2010,6,1,2023,12,31,1
Jornal I,2013,12,1,2023,12,31,1
O Sol,2017,6,1,2023,12,31,1
O Jornal Economico,2017,7,1,2023,12,31,1
Executive Digest,2019,11,1,2023,12,31,1
Sábado,2020,5,1,2023,12,31,1
TSF Online,2021,9,1,2023,12,31,1
Jornal do Fundâo,2011,7,1,2018,7,31,1
